BusType, CANFD/LIN-id,    length,    brs,    dword0    ,    dword1    ,    dword2    ,    dword3    ,    dword4    ,    dword5    ,    dword6    ,    dword7    ,
CANFD, 0x123, 64, 1,0x7f321321,0x32324234,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x123, 64, 1,0x7f321321,0x32324234,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x123, 64, 1,0x7f321321,0x32324234,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x123, 64, 1,0x7f321321,0x32324234,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x123, 64, 1,0x7f321321,0x32324234,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x5ff, 8, 0,0xa0000000,0xed,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x5ff, 8, 0,0xa0000000,0xed,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x74f, 64, 1,0xeeff1122,0x33447788,0x53866876,0x87867867,0x87876879,0x89897897,0x0,0x0
CANFD, 0x74f, 64, 1,0xeeff1122,0x33447788,0x53866876,0x87867867,0x87876879,0x89897897,0x0,0x0
CANFD, 0x74f, 64, 1,0xeeff1122,0x33447788,0x53866876,0x87867867,0x87876879,0x89897897,0x0,0x0
CANFD, 0x74f, 64, 1,0xeeff1122,0x33447788,0x53866876,0x87867867,0x87876879,0x89897897,0x0,0x0
CANFD, 0x7ff, 64, 1,0xaa123212,0x54335435,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7ff, 64, 1,0xaa123212,0x54335435,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7ff, 64, 1,0xaa123212,0x54335435,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x756, 8, 0,0x12321323,0x21397890,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x756, 8, 0,0x12321323,0x21397890,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x756, 8, 0,0x12321323,0x21397890,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7e7, 8, 0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7e7, 8, 0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7e7, 8, 0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7e7, 8, 0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7ff, 64, 1,0xaa123212,0x54335435,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7ff, 64, 1,0xaa123212,0x54335435,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7ff, 64, 1,0xaa123212,0x54335435,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7ff, 64, 1,0xaa123212,0x54335435,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7fe, 8, 0,0xaabb2233,0x23244347,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7fe, 8, 0,0xaabb2233,0x23244347,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7fe, 8, 0,0xaabb2233,0x23244347,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7fe, 8, 0,0xaabb2233,0x23244347,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x7fe, 8, 0,0xaabb2233,0x23244347,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x765, 8, 0,0x62702ca,0xa7148a00,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x765, 8, 0,0x62702ca,0xa7148a00,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x765, 8, 0,0x62702ca,0xa7148a00,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x765, 8, 0,0x2270100,0x0,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x765, 8, 0,0x2270100,0x0,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x123, 64, 1,0x7f321321,0x32324234,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x123, 64, 1,0x7f321321,0x32324234,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x123, 64, 1,0x7f321321,0x32324234,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x123, 64, 1,0x7f321321,0x32324234,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x123, 64, 1,0x7f321321,0x32324234,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x123, 64, 1,0x7f321321,0x32324234,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
